sensor_id, timestamp, count
1746,'2016-07-09 01',1
1746,'2016-07-09 04',1
1746,'2016-07-09 05',1
1746,'2016-07-09 06',1
1746,'2016-07-09 07',4
1746,'2016-07-09 11',2
1746,'2016-07-09 14',223
1746,'2016-07-09 15',324
1746,'2016-07-09 16',326
1746,'2016-07-09 17',379
1746,'2016-07-09 18',299
1746,'2016-07-09 19',74
1746,'2016-07-09 20',25
1746,'2016-07-09 21',32
1746,'2016-07-09 22',4
1746,'2016-07-10 00',2
1746,'2016-07-10 03',2
1746,'2016-07-10 05',2
1746,'2016-07-10 10',1
1746,'2016-07-10 11',2
1746,'2016-07-10 12',8
1746,'2016-07-10 13',6
1746,'2016-07-10 14',301
1746,'2016-07-10 15',863
1746,'2016-07-10 16',742
1746,'2016-07-10 17',391
1746,'2016-07-10 18',245
1746,'2016-07-10 19',65
1746,'2016-07-10 20',23
1746,'2016-07-10 21',4
1746,'2016-07-10 23',1
1747,'2016-07-08 00',6
1747,'2016-07-08 01',1
1747,'2016-07-08 03',2
1747,'2016-07-08 04',2
1747,'2016-07-08 05',19
1747,'2016-07-08 06',25
1747,'2016-07-08 07',32
1747,'2016-07-08 08',47
1747,'2016-07-08 09',40
1747,'2016-07-08 10',53
1747,'2016-07-08 11',60
1747,'2016-07-08 12',60
1747,'2016-07-08 13',62
1747,'2016-07-08 14',49
1747,'2016-07-08 15',83
1747,'2016-07-08 16',70
1747,'2016-07-08 17',98
1747,'2016-07-08 18',150
1747,'2016-07-08 19',239
1747,'2016-07-08 20',185
1747,'2016-07-08 21',174
1747,'2016-07-08 22',122
1747,'2016-07-08 23',3
1747,'2016-07-09 00',4
1747,'2016-07-09 01',3
1747,'2016-07-09 02',6
1747,'2016-07-09 03',2
1747,'2016-07-09 04',1
1747,'2016-07-09 05',15
1747,'2016-07-09 06',22
1747,'2016-07-09 07',21
1747,'2016-07-09 08',19
1747,'2016-07-09 09',32
1747,'2016-07-09 10',31
1747,'2016-07-09 11',32
1747,'2016-07-09 12',36
1747,'2016-07-09 13',39
1747,'2016-07-09 14',147
1747,'2016-07-09 15',165
1747,'2016-07-09 16',133
1747,'2016-07-09 17',161
1747,'2016-07-09 18',257
1747,'2016-07-09 19',143
1747,'2016-07-09 20',114
1747,'2016-07-09 21',81
1747,'2016-07-09 22',17
1747,'2016-07-09 23',12
1747,'2016-07-10 00',10
1747,'2016-07-10 01',10
1747,'2016-07-10 02',2
1747,'2016-07-10 03',3
1747,'2016-07-10 04',7
1747,'2016-07-10 05',23
1747,'2016-07-10 06',17
1747,'2016-07-10 07',20
1747,'2016-07-10 08',20
1747,'2016-07-10 09',27
1747,'2016-07-10 10',39
1747,'2016-07-10 11',24
1747,'2016-07-10 12',15
1747,'2016-07-10 13',8
1747,'2016-07-10 14',10
1747,'2016-07-10 15',187
1747,'2016-07-10 16',396
1747,'2016-07-10 17',457
1747,'2016-07-10 18',295
1747,'2016-07-10 19',187
1747,'2016-07-10 20',112
1747,'2016-07-10 21',55
1747,'2016-07-10 22',21
1747,'2016-07-10 23',17
1748,'2016-07-08 06',4
1748,'2016-07-08 07',39
1748,'2016-07-08 08',86
1748,'2016-07-08 09',60
1748,'2016-07-08 10',39
1748,'2016-07-08 11',13
1748,'2016-07-08 12',9
1748,'2016-07-08 13',18
1748,'2016-07-08 14',11
1748,'2016-07-08 15',21
1748,'2016-07-08 16',57
1748,'2016-07-08 17',48
1748,'2016-07-08 18',17
1748,'2016-07-08 19',29
1748,'2016-07-08 20',9
1748,'2016-07-08 21',9
1748,'2016-07-08 22',14
1748,'2016-07-08 23',2
1748,'2016-07-09 00',1
1748,'2016-07-09 05',3
1748,'2016-07-09 06',6
1748,'2016-07-09 07',75
1748,'2016-07-09 08',150
1748,'2016-07-09 09',194
1748,'2016-07-09 10',83
1748,'2016-07-09 11',2
1748,'2016-07-09 12',1
1748,'2016-07-09 13',1
1748,'2016-07-09 14',6
1748,'2016-07-09 15',1
1748,'2016-07-09 17',2
1748,'2016-07-09 18',1
1748,'2016-07-09 23',1
1748,'2016-07-10 01',1
1748,'2016-07-10 05',2
1748,'2016-07-10 06',44
1748,'2016-07-10 07',258
1748,'2016-07-10 08',271
1748,'2016-07-10 09',285
1748,'2016-07-10 10',137
1748,'2016-07-10 11',24
1748,'2016-07-10 12',8
1748,'2016-07-10 13',8
1748,'2016-07-10 14',197
1748,'2016-07-10 15',463
1748,'2016-07-10 16',144
1748,'2016-07-10 17',42
1748,'2016-07-10 18',28
1748,'2016-07-10 19',10
1748,'2016-07-10 20',1
1748,'2016-07-10 23',2
1749,'2016-07-08 07',1
1749,'2016-07-08 08',6
1749,'2016-07-08 09',4
1749,'2016-07-08 10',4
1749,'2016-07-08 11',1
1749,'2016-07-08 12',10
1749,'2016-07-08 13',1
1749,'2016-07-08 14',15
1749,'2016-07-08 15',124
1749,'2016-07-08 16',4
1749,'2016-07-08 22',13
1749,'2016-07-08 23',3
1749,'2016-07-09 06',1
1749,'2016-07-09 07',1
1749,'2016-07-09 08',9
1749,'2016-07-09 09',3
1749,'2016-07-09 10',1
1749,'2016-07-09 11',5
1749,'2016-07-09 12',3
1749,'2016-07-09 13',13
1749,'2016-07-09 14',308
1749,'2016-07-09 15',348
1749,'2016-07-09 16',316
