sensor_id, timestamp, count
1746,'2016-07-09 10',168
1746,'2016-07-09 11',90
1746,'2016-07-09 12',32
1746,'2016-07-09 13',13
1746,'2016-07-09 14',1
1746,'2016-07-09 15',1
1746,'2016-07-09 18',1
1746,'2016-07-09 19',4
1746,'2016-07-09 20',2
1746,'2016-07-09 22',2
1746,'2016-07-09 23',1
1746,'2016-07-10 00',2
1746,'2016-07-10 01',1
1746,'2016-07-10 04',4
1746,'2016-07-10 05',69
1746,'2016-07-10 06',114
1746,'2016-07-10 07',357
1746,'2016-07-10 08',579
1746,'2016-07-10 09',440
1746,'2016-07-10 10',281
1746,'2016-07-10 11',99
1746,'2016-07-10 12',15
1746,'2016-07-10 13',2
1746,'2016-07-10 14',1
1746,'2016-07-10 16',1
1746,'2016-07-10 18',2
1746,'2016-07-10 19',4
1746,'2016-07-10 20',3
1746,'2016-07-10 23',3
1747,'2016-07-08 00',9
1747,'2016-07-08 01',2
1747,'2016-07-08 02',7
1747,'2016-07-08 03',1
1747,'2016-07-08 04',5
1747,'2016-07-08 05',45
1747,'2016-07-08 06',220
1747,'2016-07-08 07',620
1747,'2016-07-08 08',968
1747,'2016-07-08 09',836
1747,'2016-07-08 10',453
1747,'2016-07-08 11',277
1747,'2016-07-08 12',265
1747,'2016-07-08 13',222
1747,'2016-07-08 14',120
1747,'2016-07-08 15',91
1747,'2016-07-08 16',106
1747,'2016-07-08 17',127
1747,'2016-07-08 18',188
1747,'2016-07-08 19',140
1747,'2016-07-08 20',74
1747,'2016-07-08 21',61
1747,'2016-07-08 22',40
1747,'2016-07-08 23',14
1747,'2016-07-09 00',5
1747,'2016-07-09 01',5
1747,'2016-07-09 02',4
1747,'2016-07-09 03',1
1747,'2016-07-09 04',6
1747,'2016-07-09 05',77
1747,'2016-07-09 06',340
1747,'2016-07-09 07',1010
1747,'2016-07-09 08',989
1747,'2016-07-09 09',750
1747,'2016-07-09 10',539
1747,'2016-07-09 11',200
1747,'2016-07-09 12',144
1747,'2016-07-09 13',52
1747,'2016-07-09 14',34
1747,'2016-07-09 15',47
1747,'2016-07-09 16',60
1747,'2016-07-09 17',81
1747,'2016-07-09 18',67
1747,'2016-07-09 19',51
1747,'2016-07-09 20',41
1747,'2016-07-09 21',28
1747,'2016-07-09 22',24
1747,'2016-07-09 23',19
1747,'2016-07-10 00',11
1747,'2016-07-10 01',5
1747,'2016-07-10 02',5
1747,'2016-07-10 03',6
1747,'2016-07-10 04',76
1747,'2016-07-10 05',431
1747,'2016-07-10 06',786
1747,'2016-07-10 07',964
1747,'2016-07-10 08',905
1747,'2016-07-10 09',718
1747,'2016-07-10 10',442
1747,'2016-07-10 11',248
1747,'2016-07-10 12',75
1747,'2016-07-10 13',46
1747,'2016-07-10 14',19
1747,'2016-07-10 15',88
1747,'2016-07-10 16',487
1747,'2016-07-10 17',428
1747,'2016-07-10 18',343
1747,'2016-07-10 19',121
1747,'2016-07-10 20',50
1747,'2016-07-10 21',22
1747,'2016-07-10 22',10
1747,'2016-07-10 23',19
1748,'2016-07-08 05',2
1748,'2016-07-08 06',5
1748,'2016-07-08 07',67
1748,'2016-07-08 08',100
1748,'2016-07-08 09',106
1748,'2016-07-08 10',47
1748,'2016-07-08 11',17
1748,'2016-07-08 12',18
1748,'2016-07-08 13',5
1748,'2016-07-08 14',9
1748,'2016-07-08 15',3
1748,'2016-07-08 16',4
1748,'2016-07-08 17',2
1748,'2016-07-08 18',4
1748,'2016-07-08 19',9
1748,'2016-07-08 20',3
1748,'2016-07-08 21',1
1748,'2016-07-08 22',7
1748,'2016-07-08 23',4
1748,'2016-07-09 05',5
1748,'2016-07-09 06',12
1748,'2016-07-09 07',58
1748,'2016-07-09 08',103
1748,'2016-07-09 09',129
1748,'2016-07-09 10',92
1748,'2016-07-09 11',6
1748,'2016-07-09 12',4
1748,'2016-07-09 13',1
1748,'2016-07-09 14',3
1748,'2016-07-09 16',1
1748,'2016-07-09 17',2
1748,'2016-07-09 18',2
1748,'2016-07-09 22',1
1748,'2016-07-09 23',1
1748,'2016-07-10 01',1
1748,'2016-07-10 05',12
1748,'2016-07-10 06',40
1748,'2016-07-10 07',45
1748,'2016-07-10 08',43
1748,'2016-07-10 09',82
1748,'2016-07-10 10',225
1748,'2016-07-10 11',126
1748,'2016-07-10 12',23
1748,'2016-07-10 13',8
1748,'2016-07-10 14',1
1748,'2016-07-10 16',3
1748,'2016-07-10 17',1
1748,'2016-07-10 18',5
1748,'2016-07-10 20',1
1748,'2016-07-10 23',1
1749,'2016-07-08 05',1
1749,'2016-07-08 07',50
1749,'2016-07-08 08',385
1749,'2016-07-08 09',270
1749,'2016-07-08 10',32
1749,'2016-07-08 11',1
1749,'2016-07-08 12',6
1749,'2016-07-08 13',6
1749,'2016-07-08 14',4
1749,'2016-07-08 15',3
1749,'2016-07-08 22',3
1749,'2016-07-08 23',1
1749,'2016-07-09 00',1
1749,'2016-07-09 06',2
1749,'2016-07-09 07',243
1749,'2016-07-09 08',572
1749,'2016-07-09 09',420
1749,'2016-07-09 10',171
1749,'2016-07-09 11',5
1749,'2016-07-09 12',5
1749,'2016-07-09 13',1
1749,'2016-07-09 14',2
1749,'2016-07-09 15',2
1749,'2016-07-09 16',3
1749,'2016-07-09 17',7
1749,'2016-07-09 19',1
1749,'2016-07-10 01',1
1749,'2016-07-10 05',2
1749,'2016-07-10 06',41
1749,'2016-07-10 07',405
1749,'2016-07-10 08',552
1749,'2016-07-10 09',572
1749,'2016-07-10 10',270
1749,'2016-07-10 11',3
1749,'2016-07-10 13',1
1749,'2016-07-10 14',2
1749,'2016-07-10 15',5
1749,'2016-07-10 17',1
1749,'2016-07-10 19',3
1750,'2016-07-08 08',1
1750,'2016-07-08 18',4
1750,'2016-07-09 05',1
1750,'2016-07-09 07',3
1750,'2016-07-09 12',1
1750,'2016-07-10 11',1
1751,'2016-07-08 05',1
1751,'2016-07-08 08',91
1751,'2016-07-08 09',1
1751,'2016-07-08 10',2
1751,'2016-07-08 12',1
1751,'2016-07-08 13',1
1751,'2016-07-08 14',1
1751,'2016-07-08 15',1
1751,'2016-07-08 18',2
1751,'2016-07-09 05',1
1751,'2016-07-09 06',2
1751,'2016-07-09 07',1
1751,'2016-07-09 08',1
1751,'2016-07-09 13',1
1751,'2016-07-10 11',6
1751,'2016-07-10 12',2
1751,'2016-07-10 15',1
1752,'2016-07-08 00',16
1752,'2016-07-08 01',16
1752,'2016-07-08 02',10
1752,'2016-07-08 03',7
1752,'2016-07-08 04',57
1752,'2016-07-08 05',261
1752,'2016-07-08 06',446
1752,'2016-07-08 07',560
1752,'2016-07-08 08',590
1752,'2016-07-08 09',547
1752,'2016-07-08 10',353
1752,'2016-07-08 11',266
1752,'2016-07-08 12',204
1752,'2016-07-08 13',201
1752,'2016-07-08 14',154
1752,'2016-07-08 15',148
1752,'2016-07-08 16',205
1752,'2016-07-08 17',183
1752,'2016-07-08 18',254
1752,'2016-07-08 19',221
